song, danceability ,tempo,album
Bye Bye Baby (Taylorâ€™s Version) (From The Vault), 0.624 ,80.132,Fearless (Taylor's Version)
Tim McGraw, 0.580 ,76.009,Taylor Swift
Superstar (Taylorâ€™s Version), 0.454 ,171.862,Fearless (Taylor's Version)
A Place in this World, 0.576 ,115.028,Taylor Swift
Should've Said No, 0.476 ,167.964,Taylor Swift
Fifteen (Taylorâ€™s Version), 0.559 ,95.466,Fearless (Taylor's Version)
Stay Beautiful, 0.594 ,131.597,Taylor Swift
Thatâ€™s When (feat. Keith Urban) (Taylorâ€™s Version) (From The Vault), 0.588 ,90.201,Fearless (Taylor's Version)
Invisible, 0.612 ,,Taylor Swift
Jump Then Fall (Taylorâ€™s Version), 0.572 ,160.111,Fearless (Taylor's Version)
Love Story (Taylorâ€™s Version), 0.627 ,119.054,Fearless (Taylor's Version)
Picture To Burn, 0.658 ,105.586,Taylor Swift
Our Song, 0.668 ,89.011,Taylor Swift
We Were Happy (Taylorâ€™s Version) (From The Vault), 0.609 ,106.007,Fearless (Taylor's Version)
White Horse (Taylorâ€™s Version),,185.262,Fearless (Taylor's Version)
A Perfectly Good Heart, 0.483 ,156.092,Taylor Swift
Forever & Always (Piano Version) (Taylorâ€™s Version), 0.546 ,118.753,Fearless (Taylor's Version)
Cold As You, 0.418 ,175.558,Taylor Swift
Tied Together with a Smile, 0.479 ,146.165,Taylor Swift
You All Over Me (feat. Maren Morris) (Taylorâ€™s Version) (From The Vault), 0.599 ,142.893,Fearless (Taylor's Version)
The Outside, 0.589 ,112.982,Taylor Swift
Hey Stephen (Taylorâ€™s Version), 0.788 ,115.99,Fearless (Taylor's Version)
Forever & Always (Taylorâ€™s Version), 0.598 ,128.03,Fearless (Taylor's Version)
Change (Taylorâ€™s Version), 0.499 ,95.999,Fearless (Taylor's Version)
